"UnitCode","UnitName","Faculty","CreditPoints","EFTSL","Preqs","Proh","SCABand","Sypnosis",,,,,,,,,
"ATS2351","The archaeology of death in ancient Egypt: The early dynastic period to middle kingdom","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)', 'Second semester 2017 (Flexible)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3351",1,"This unit focuses upon a study of how the ancient Egyptians engaged with death throughout the period when pyramids were the dominant architectural manifestation of beliefs in the afterlife of the king.  While these are but one form of monument used to preserve the dead and present their expectations for the next life, they epitomise the importance of preparing for that transition. The unit explores the beliefs that prompted such complex burial arrangements and those for all classes of society, and uses these to chart the development in Egyptian culture from 3050 BCE to 1750 BCE. It explores a wide range of material evidence to track these changes and explores the range of modern theories available to understand the processes involved.",,,,,,,,
"ATS2352","Egypt's golden age","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)', 'First semester 2017 (Flexible)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3352",1,"The study of ancient Egypt throughout the New Kingdom, Dynasties 18-20, when Egypt was one of the dominant powers throughout the Mediterranean. It will include an introduction to the international character of Egyptian culture during the New Kingdom and focus upon four main phases within the period: the reigns of Hatshepsut and Thutmose III; Amenhotep III to Tutankhamun; Seti I and Ramesses III; and Ramesses III.",,,,,,,,
"ATS2354","Interrogating racism: Indigenous Australians and the state","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3354",1,"The unit focuses on theories of race and issues of ethnicity, prejudice and racism, with particular emphasis on the continuities and discontinuities of discourses on 'race' in Australia; language use in a multicultural context; the uses of opinion polls; the representation of Indigenous people in the media and other forms of popular culture; multiculturalism and Indigenous people. The value of an interdisciplinary approach to these topics is highlighted.",,,,,,,,
"ATS2355","Race and power: Imagining Indigenous Australia","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","AIS3055, ATS3355",1,"This unit critically examines the ability of white Australia to know Indigenous people through the discursive power of representation. This unit explores white Australia's attempt to represent Indigenous people, moving beyond the historical, political and legal 'facts' of the colonial encounter to address the inherent theoretical problems of 'talking' about and for Australia's Indigenous peoples. Topics covered include representation of Indigenous people in media, history, sport, culture, public administration and law. The unit is self reflexive and critically assesses way the Western academy has claimed to possess knowledge about Indigenous people and authority over Indigenous lives.",,,,,,,,
"ATS2358","Contesting laws: Heritage, culture and land","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3358",1,"When Europeans arrived in Australia they brought with them a complex system of laws which were markedly different to those used and practiced by Indigenous Australians for thousands of years. The subsequent imposition of European law over Indigenous law created significant tensions especially in relation to Indigenous connections to land, sea and culture. This unit undertakes an interdisciplinary study related to Indigenous Law, land rights, Native Title, Indigenous knowledge and cultural heritage. The unit critically examines some of the emerging and recent debates involving: Native Title and mining; intangible heritage (art-song-story); and general public responses to Indigenous land rights.",,,,,,,,
"ATS2359","Hearing the country: Studies in Indigenous Australian ethnoecology","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.",,1,"Australia is the site of a remarkable diversity of systems of knowledge. Indigenous knowledge systems and systems based on western scientific tradition have often been seen as the most distant poles on a continuum that ranges from myth to science. Continuing research in Australia shows that Indigenous ecological knowledge on this continent is detailed, localised and grounded in empirical observations. In addition, Indigenous knowledge is embedded within a system of ethics that is oriented toward long-term productivity. It is usual to contrast Indigenous knowledge with non-Indigenous systems of knowledge and care in order to show their divergence or even, in many instances, their oppositions.",,,,,,,,
"ATS2364","Indigenous Australian politics and activism","Faculty of Arts","[[['Gippsland'], ['First semester 2017 (Day)', 'First semester 2017 (Online)']]]",6,0.125,"12 points at first year level any any discipline","AIS2025, AIS3025, ATS3364",1,"This Unit analyses two broad, interrelated themes: firstly, the political struggles and activism of Indigenous peoples; and secondly, the numerous Government policies that have affected Indigenous peoples. The first section of the Unit examines these themes from a historical perspective, exploring issues such as protectionism, the 1938 Day of Mourning, assimilation, the 1967 Referendum, self-determination and the Aboriginal Tent Embassy. The second section of the Unit discusses several contemporary Indigenous issues that relate to the two themes. These issues include: land rights, native title, deaths in custody, the stolen generation, reconciliation, treaty, welfare reform and sovereignty.",,,,,,,,
"ATS2365","Australian Indigenous literature","Faculty of Arts","[[['Gippsland'], ['Second semester 2017 (Day)', 'Second semester 2017 (Online)']]]",6,0.125,"A sequence of first year subjects","AIS1040, AIS2035, AIS3035, ATS3365",1,"Australian Indigenous Literature takes the scholar on a journey of listening to and reflecting upon Indigenous voices in a variety of texts, including poetry, theatre, autobiography, early writings and film. The course is intended to expose students to an Indigenous way of seeing history, social issues and life in general. The diversity of Indigenous perspectives and life styles will become apparent, as will the creativity of Indigenous voices in Australia today. Students will gain abilities in critical thinking and analysis of material covered.",,,,,,,,
"ATS2366","Australian Indigenous art and design","Faculty of Arts","[]",6,0.125,,"AIS2045, AIS3045, ATS3366",1,"This unit provides students with an historical and contemporary overview of Australian Indigenous Art. The unit contextualises the place of Art in Indigenous culture posing interesting questions and points of view in relation to links to Country, diversity of Indigenous society and art used as a voice piece. The unit will also examine the growth in the participation of Indigenous artists in the marketplace and issues of copyright and intellectual property.",,,,,,,,
"ATS2367","Australian Indigenous women","Faculty of Arts","[]",6,0.125,"ATS1251 and ATS1252 or permission","AIS2070, AIS2170, AIS3070, AIS3170, ATS3367",1,"Australian Indigenous Women examines the roles of women in traditional society as well as the significant role they have played in colonial society. The unit examines common stereotypes that Indigenous women have sought to disarm. There is discussion on discourses which involve Indigenous and Black women and feminism. Representations of Indigenous women in film, the theatre and literature. Self-representations of Aboriginal and Torres Strait Islander women as presented in art and photography movements. The role played by Indigenous women in Australia in politics and black women's voices. Common threads which run through Indigenous women in Australia and other countries.",,,,,,,,
"ATS2369","Indigenous Australian human rights","Faculty of Arts","[[['Gippsland'], ['Second semester 2017 (Day)', 'Second semester 2017 (Online)']]]",6,0.125,"12 points at first year in any discipline","AIS2808, AIS3808, ATS3369, GSC3804",1,"This unit will assist students to acquire analytical and research skills which will enable them to examine and discuss objectively the application of human rights in Australia, in both a general sense and specifically in relation to Aboriginal and Torres Strait Islander people. This unit also aims to assist students to examine their knowledge and understanding of human rights, and which human rights Australian citizens can expect to have applied on their behalf by Australian Governments.",,,,,,,,
"ATS2373","Visualising cultures: Film and ethnography","Faculty of Arts","[]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Anthropology.","COS2170 and ATS3373",1,"This unit explores the relation between film and ethnography by examining how cultures are 'visualised' - documented and represented on celluloid, usually in productions that are aimed at an educational audience rather than one that seeks pure entertainment. The ethical responsibilities of the filmmaker, the political dimension of filmic representation and the practical problems of recording another culture without 'exoticising' it will be studied. The unit also explores the issue of when visual representation can be more (or less) effective than textual discussions.",,,,,,,,
"ATS2378","The anthropology of international development","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Anthropology.","ATS3378, AZA2378, AZA3378",1,"This unit takes an anthropological approach to critiquing international aid and development and the global structures it is embedded within. It explores how ethnography can improve our understanding of the development process, and the notions of human progress it rests on. The unit examines the ways anthropologists theorise social and economic patterns of change; how development policy is imagined, produced, received or resisted across multiple cultural contexts; and how development and those being developed are imagined and defined through specific case studies of approaches, institutions and practitioners in the field.",,,,,,,,
"ATS2379","Fairy tale in Italy","Faculty of Arts","[]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3379",1,"The unit explores the history and diversity of fairy tale in Italy, from the proposition that literary fairy tale originated in Venice and Naples to more contemporary recordings of tales. Students will learn theoretical approaches through which to examine the nature of Italian fairy tales and take into consideration issues of cultural production, consumption and political influence. There will be an opportunity for students to consider the genre in their own creative writing.",,,,,,,,
"ATS2380","Global migrations: Making the modern world","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.",,1,"This unit examines migrations of people across the globe as a potent force in the making of the modern world, with a focus on the Pacific region since the mid-eighteenth century to the present day. The movement of people is considered in the context of major transformations in criminal codes, labor force requirements, resources booms, and the disruptions of revolution, war and armed conflict. Groups to be studied include convicts, assisted immigrants, indentured labourers from China and India, gold-seekers, displaced persons, refugees and asylum seekers. The efforts of governments to shape their populations, through mechanisms such as transportation, the regulation and restriction of migration, deportation, internment and border control will also be studied.",,,,,,,,
"ATS2382","War and memory in the Asia Pacific: Legacies of World War II","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"A gateway unit in International studies, Japanese studies or permission.","ATS3382",1,"This unit examines the legacies of World War II in the Asia Pacific region, especially Japan, Korea, China, Malaysia, Singapore, Indonesia and the Philippines. It considers such well-known events as the Nanking Massacre of 1937 and the sexual slavery of so-called 'comfort women , as well as lesser known issues such as the use of Asian forced labour on the Burma-Thailand Railway or the experiences of colonial soldiers (Korean, Taiwanese, Filipino, Indian) in the conflict. Importantly, the unit examines critically how debates about the past affect international and domestic relations in the region, and why the wartime past continues to haunt Japan and its neighbours to this day.",,,,,,,,
"ATS2385","Anzac legends: Australians at war","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3385",1,"Why is war central to the shaping of Australian identity? This unit explores the experiences of Australians at war through the major conflicts of the twentieth century. It focuses on the 'face of battle' and how human conflict affected men and women on the front line. 'Anzac Legends' examines the role of war in both consolidating and challenging definitions of gender, national, and racial identity. In the centenary years of the First World War, this unit considers how the Anzac Legend has evolved and what it means today. As part of this unit students undertake hands-on work with the First World War repatriation records at the National Archives of Australia, a collection that tells us about the true cost of war and the battles that returned servicemen and women, their families, and the community faced beyond the Armistice.",,,,,,,,
"ATS2386","Paradise lost? Sustainability and Australia","Faculty of Arts","[]",12,0.25,"Twelve credit points of first-year Arts units.","ATS3386, APG4712, APG5728",1,"How has the landscape shaped the definition of what it means to be Australian? How has Australia responded to the global challenge of creating a sustainable society? Have non-indigenous Australians learned from Aboriginal relationships with the natural environment, and what challenges do we now face in living with the land? This unit considers the climatic, cultural and economic forces which have shaped the landscape, exploring the dynamic interaction between Australians and their environment. It draws on a range of disciplines, including history, tourism, literature, geography, politics, journalism and cultural studies. It includes intensive field trips/excursions to the historic Rocks area of Sydney, indigenous sites and wilderness areas.",,,,,,,,
"ATS2387","Beyond Gallipoli: Australians in the Great War","Faculty of Arts","[]",12,0.25,"Twelve credit points of first-year Arts units.","ATS3387, ATS2388, ATS3388, ATS2389, ATS3389, ATS2390, ATS3390",1,"This Unit begins with a study tour of Istanbul and the Gallipoli Peninsula, walking the gullies and the ridges and reconstructing the Anzac campaign of 1915. We then move to Prato (near Florence) for a week of seminars/workshops and excursions to commemorative sites in Florence and Bologna. After Prato, we will fly to Brussels for the Western Front component, exploring the major Australian battles and museums in Flanders and on the Somme. The program concludes in Paris. A series of onsite lectures and workshops will introduce students to the nature and experience of war on the Gallipoli peninsula and the Western Front. Topics will include the making of the Anzac Legend, war and the experience of overseas travel, the Homeric tradition and the changing nature of battle, pilgrimage, cultural tourism, the making of commemorative landscapes, the demise of the Ottoman Empire and the making of a new Europe. While based on the Gallipoli Peninsula, students will research a battle in depth and present their findings on the battlefield or related site of memory.",,,,,,,,
"ATS2394","Australia and Asia","Faculty of Arts","[[['Caulfield'], ['Summer semester A (starts November) 2017 (Flexible)']]]",12,0.25,"Twelve credit points of first-year Arts units.","ATS3394",1,"This unit examines Australia's past and present relations with Asia, culminating in a study tour of an Asian country. It traverses a broad terrain, investigating cross-cultural contact at political and diplomatic, economic and trade, as well as cultural and personal levels. The unit places contemporary events within their broader historical contexts, to identify enduring themes that influence Australian-Asian relations. It also looks ahead to future developments as Australia negotiates the 'Asian Century'. The unit begins in Australia, before students embark on a study tour of an Asian nation to gain an in-depth awareness of the complex social, cultural and political context of Asia, and how Australia fits into a regional frame.",,,,,,,,
"ATS2395","Australia in a globalising world","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3395",1,"This unit examines Australia's international contacts from the nineteenth century to the present day, focussing particularly on shifting relations with Britain, the United States and Asia across political, military, strategic, economic, cultural and personal levels. The unit examines how representations of foreigners and 'Others' have changed over time, and how these shaped Australian relations with the world. This will allow students to gain an understanding of how past issues continue to shape Australia's global relations, and how foreign, public and trade policy is developed.",,,,,,,,
"ATS2400","Personality: Beyond the persona","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Behavioural studies.","ATS3400, GSC2711, GSC3711, PSS2711, ATS2819",1,"This unit will introduce students to the development of personality theory from the late 19th century to the present time. It will examine a range of theories reflecting dominant paradigms and the ways in which they shaped contemporary thinking across a number of disciplinary areas including abnormal psychology, psychiatry, sociology and criminology. Each theory will be explored in relation to the historical, cultural and social context from which it emerged and the personal history of the originating theorist.",,,,,,,,
"ATS2410","Narrative","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Two gateway units in Literary studies, or permission from the unit coordinator.","ATS3410, AZA2410, AZA3410",1,"The unit will investigate story-telling, narrative literature and the role of narrative in a range of cultural contexts. What constitutes narrative? What are its primary features? How does story-telling communicate meaning? How do we construct effective narrative texts? What do we do with narrative? What is the future of narrative? The texts studied are drawn from a variety of genres and countries.",,,,,,,,
"ATS2422","Romanticism and its literary legacy","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units, including at least one gateway unit in Literary studies.",,1,"This unit will introduce students to the new forms of representation and ways of thinking that emerged in Europe in association with the Romantic movement. It will focus in particular on Romantic reconceptualisations of literature, history and nationhood, God and nature, art and the self. Romanticism will be considered both as a revolutionary period in European history and as a continuing strand of Western culture, with a diverse literary legacy. Writers discussed will come from various European traditions.",,,,,,,,
"ATS2427","Earthworks: Literature and environment","Faculty of Arts","[]",6,0.125,"Twelve credit points of first-year Arts units.",,1,"This unit will introduce students to the new field of ecologically oriented literary and cultural studies, or 'ecocriticism'. It will critically examine various cultural constructions of 'nature' and 'the body' in a range of texts exemplifying different discourses of nature (e.g. mythological, philosophical, scientific) and literary genres (e.g. drama, narrative, poetry) from a range of different geographical and historical contexts. In addition, consideration will be given to the development  of a number of distinct approaches within the field of current environmental literary and cultural studies.",,,,,,,,
"ATS2436","New media: From the telegraph to Twitter","Faculty of Arts","[[['Caulfield'], ['First semester 2017 (Day)']], [['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3436, AZA2436, AZA3436",1,"This unit introduces students to the technological, social, economic and political forces driving the development, and adoption of new media and communications technologies. It examines case studies of when 'old technologies were new' such as the telegraph and radio as well as the social shaping of very recent examples of new media, such as Facebook, Sina Weibo, Qzone, Renren and Twitter. Instrumentalist, substantivist and technologically determinist perspectives on new media will be compared as a means of understanding the dynamic convergence of telecommunications, IT and media industries.",,,,,,,,
"ATS2439","Youth media: Understanding media research","Faculty of Arts","[[['Caulfield'], ['First semester 2017 (Day)']], [['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3439, AZA2439, AZA3439",1,"This unit analyses what research on young media users reveals about the media's social influence. The unit covers topics such as media violence, the political effects of social media, international reality television, the relationship between mobile phones and gendered identities and advertising practices. It considers a wide array of genres, including music, film, news, reality media, advertising, gaming and comedy. The unit draws on international case studies from Australia, China, Columbia, Finland, the Middle East, Nigeria, Sierra Leone, the UK and the USA. The overall point is that media matter to young people because it is increasingly difficult to live a social life without having access to media resources. For this reason, it is important to appreciate how the experiences of young media users inform new agendas in the fields of critical media studies and media education.",,,,,,,,
"ATS2440","The public sphere","Faculty of Arts","[[['Caulfield'], ['Second semester 2017 (Day)']], [['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3440",1,"This unit introduces a key theoretical concept in the field of media and communications studies - the public sphere - and attends to key questions in media studies: what does media contribute to the realm of rational debate and how does this contribution facilitate public understanding of, and input to, policy and governance? In addressing these questions the subject raises important matters concerned with citizenship, individual response to public issues and the relationship between opinion and informed debate. It tracks the emergence of the theory of the public sphere, analyses the multiple uses and related applications of the concept, and explains how the public sphere relates to traditional and new communications and media environments.",,,,,,,,
"ATS2442","Print cultures: Books as media","Faculty of Arts","[]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3442",1,"The book is the oldest communications medium. It continues to thrive, constantly adapting to changes in the broader media environment. Print Cultures considers the characteristics of print as a medium and the role of the book as an information architecture. It comprises 3 modules: Theories and Methodologies introduces medium theory, history of the book, cultural policy studies and political economy approaches Socio-Cultural Dimensions of Books analyses the contemporary international book world, including the roles of publishers, editors, literary agents, booksellers, reading groups and libraries Book Futures focuses on the book's increasing convergence with digital media.",,,,,,,,
"ATS2443","On the road: Travel and representation","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3443",1,"Cultural practices of travel and the ways these are represented in travel writing and related modes of communication form one of the most compelling fields of contemporary critical inquiry. This unit is designed to place this contemporary engagement within an historical, theoretical and practical perspective. It examines travel practices, attitudes and ideologies in a range of texts, including the popular travel book and the tourist guidebook, fiction, film and journalism. Its scope ranges from ancient pilgrimages through imaginary voyages, utopian fantasies, New World traveller's tales and the imperial quest, to the diverse branches of tourism today, including sex tourism and cyber travel.",,,,,,,,
"ATS2444","Inscribing Italy: Travels and imaginings","Faculty of Arts","[[['Prato'], ['Term 4 2017 (On-campus block of classes)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3444",1,"The unit maps the roots and routes of English-language travel in Italy, from the aristocratic travel of the English Renaissance, to the Grand Tourists of the eighteenth century, to the rise of middle-class tourism and the travel genre in the nineteenth century, to the mass tourism and cyber travel of today. In an eclectic range of sources, including travel books, essays and fiction, a central focus will be on contemporary or near-contemporary cultural responses to Italy (including those articulated in guidebooks), and also how the country is 'packaged' for the consumption of foreign travellers in the discourses of the tourism industry.",,,,,,,,
"ATS2448","Screen theories and techniques","Faculty of Arts","[]",6,0.125,"ATS1277 and ATS1278 or equivalent","ATS3448, COM2408, COM3408, GSC2408, GSC3408",1,"An introduction to the study of film and television/video as mediums of fictional and documentary narrative. Major developments in the history of cinema. Films will be analysed formally in terms of narrative, editing, mise en scene, shots, lighting and sound, and stylistically in terms of genre and authorship. Different theoretical approaches to screen studies including aestheticism, discourse analysis and semiotics.",,,,,,,,
"ATS2449","Media texts","Faculty of Arts","[[['Gippsland'], ['Second semester 2017 (Day)', 'Second semester 2017 (Online)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3449, COM2409, COM3409, GSC2409, GSC3409",1,"Media Texts introduces a range of ways of conceiving, composing and reading representation in general, and uses these techniques to analyse particular media texts. The unit considers how traditional depictions of media texts as narrative and as ideology underpin many common-sense readings of media representations, before broaching the analysis of such texts in terms of discourse and textuality. The unit also examines a range of compositional techniques with regard to their potential social, conceptual and corporeal effects, before speculating on how these techniques can connect with established textual histories and reading protocols to enable a range of interpretive possibilities.",,,,,,,,
"ATS2450","Contemporary media theory","Faculty of Arts","[[['Gippsland'], ['First semester 2017 (Day)', 'First semester 2017 (Online)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3450, COM2411, COM3411, GSC2411",1,"The unit examines developments in media theory in response to new and changing media forms. Students are introduced to a range of theoretical approaches that have developed alongside the technologies they have sought to analyse and describe. These approaches form the foundation for the analysis of media and mass communication in all its components, including textual form and content, media industries, and associated issues of politics, power, discourse, culture and identity.",,,,,,,,
"ATS2454","Media audiences","Faculty of Arts","[[['Gippsland'], ['First semester 2017 (Online)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3454, COM2423, COM3423, GSC3402, GSC3423",1,"This unit addresses the key issues of: media audiences and audience activity; the relations between media, citizenship and community; and the impact of new communication technologies. Most importantly, it makes available to you the techniques and theoretical frameworks for researching and analysing audience activity and interactivity. It also helps you learn how these frameworks can be deployed in research design. The unit is organized in three blocks: ways of being an audience, ways of theorizing audiences, and ways of researching audiences.",,,,,,,,
"ATS2456","Cybercrime","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.",,1,"The unit provides a theoretical and empirical introduction to cybercrime. It begins by exploring how new technologies such as the internet facilitated old crimes and created new types of crime. This unit uses criminological and regulatory theories to explain how new crimes are created and old crimes are facilitated by new technologies. It also considers how cybercrime challenges existing laws and criminal procedures, and discusses issues related to the governance and prevention of crime in cyberspace. Topics include: the history of the internet; forms of cybercrime such as hacking, online fraud, identity theft, child pornography and cyber-bullying; Internet laws and regulations; policing and governance of cybercrime; and prevention measures.",,,,,,,,
"ATS2457","Crime, media and culture","Faculty of Arts","[]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Criminology.","ATS3457",1,"Crime, Media and Culture examines the representation of crime in the media and its relationship to wider understandings of, and reactions to, crime and criminal justice. This subject uses key critical criminological, sociological and media theories to interpret the representation of crime in the media. Key areas covered include representations of class, gender and race in relation to crime, the symbiotic relationship between journalists and key actors within the criminal justice system, the relationship between the media and policy formulation and the importance of fictional representations in reflecting, reinforcing and shaping popular understandings of criminal justice and criminality.",,,,,,,,
"ATS2458","Crime, control and policing","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Criminology.","CJC3015/ATS3458",1,"This unit critically analyses concepts of policing and control both by and beyond the state. Drawing from Australian and international experiences, this unit is divided into three key modules:  theorising policing, whereby we move beyond examining police and policing solely in regards to state intervention and control, to instead consider it in light of self-regulation and agency, populist discourse, power and the broader operation of policing and government policy;  contemporary challenges in policing, including responding to new technologies and offences, such as stalking, cybercrime and sexting, as well as challenges arising in relation to police misconduct and corruption, the use of deadly force, and accountability; and  policing of diversity, in which we examine policing and control in the context of marginalised groups, including, but not limited to LGBTI, young people, Indigenous Australians and asylum seekers.",,,,,,,,
"ATS2465","Human rights in the criminal justice sphere","Faculty of Arts","[[['Prato'], ['Trimester 3 2017 (On-campus block of classes)']]]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Criminology.","ATS3465",1," This intensively delivered unit is part of our Criminology in Prato programme.The unit introduces students to the study of human rights in the sphere of criminal justice and criminology. The unit will trace the impact of human rights across the differing phases of the achievement of justice in criminal justice systems. Focusing on a specific rights as case studies it will contrast national and international definitions of human rights in understanding responses to crime: including policing, court processes, prosecution and punishment.",,,,,,,,
"ATS2469","Victims, justice and the law","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units. It is highly recommended that students only take this unit after they have completed two gateway units in Criminology.","ATS3469",1,"The unit considers the concepts of justice, victims and the law as they exist within and beyond the legal system. The unit engages with historical and contemporary perspectives and constructions of these intersecting concepts to explore understandings of crime and criminality, and examine the potentials and limitations of the legal system in practice. Bringing together interdisciplinary approaches from law, criminology and socio-legal studies, this unit considers the relationships between law, justice and victims through the study of: criminal and civil law, restorative justice, therapeutic jurisprudence, public policy, the media, criminal justice procedures, human rights and social change.",,,,,,,,
"ATS2471","Comparative criminal justice: An international perspective","Faculty of Arts","[[['Gippsland'], ['First semester 2017 (Day)', 'First semester 2017 (Online)']]]",6,0.125,"24 points at level 1 in Arts.","ATS3471, CRJ2001, CRJ3001",1,"Students study the aims and methods of comparative criminal justice. Policing structures, functions and practices are examined. The unit explores how the courts of selected countries conduct criminal trials. The fairness and effectiveness of sentencing and punishment will be analysed. Penal policy and prisoner rights will be considered as well as recent innovative non-custodial sanctions. The dismantling of geographical boundaries has hastened the spread of transnational organised crime networks. This unit offers a comparative perspective of the nature of transnational crime and the national and international efforts to identify and control such activities.",,,,,,,,
"ATS2473","Offender profiling","Faculty of Arts","[[['Gippsland'], ['Second semester 2017 (Day)', 'Second semester 2017 (Online)']]]",6,0.125,"ATS1283 and ATS1284 or equivalent","ATS3473, CRJ2003, CRJ3003",1,"This unit demystifies the process of offender profiling by examining the theoretical bases underlying approaches to profiling, listing the functions of profiling outlining and contrasting methods used, and evaluating the validity of these. The long history of profiling will be explored, and the sensationalism of popular media depictions of profilers and profiling methods will be investigated.",,,,,,,,
"ATS2485","Reading the past","Faculty of Arts","[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"Two gateway units in Literary studies, or permission from the unit coordinator.",,1," The unit is about how and why we read literature from the past. It addresses the 'foreignness' of Early Modern literature and the challenge of becoming an informed and engaged reader of that literature. The unit will explore both the aesthetic distance between Early Modern writing and the present - what does it mean, for example, to characterize a text as Baroque, or Mannerist, or Gothic, and how appropriate are such terms? - and the thematic concerns of the period itself: its anxious questions about the nature and limits of the human, for example, that were opened up by the breakdown of medieval theological certainty and the rise of science.  Such questions will be posed in terms of the political and ideological context of the time: broadly, the gradual but alarming transformation of a static feudal hierarchy into the fluid social order of capitalism, and the challenges posed by (some) women to the limiting assumptions of institutionalized patriarchy.The unit raises fundamental questions such as: What are we looking for in the texts we read? Can we, or should we, use literature to understand what authors and their contemporary readers thought about an issue: using literary texts as sociological and historical artefacts? Or should we, or do we, read an ever-widening circle of texts as an exercise in pleasure-seeking, or as a way of looking for a universal truth about the human condition, or the nature of truth or beauty?Students will be encouraged to consider these question via a series of self-guided explorations of literature from the past, relating texts they have chosen to a corpus of contemporary literature.",,,,,,,,
"ATS2490","Advanced Professional Writing","Faculty of Arts","[[['Caulfield'], ['Second semester 2017 (Day)']], [['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,,"ATS3490",1,"This unit aims to further develop students' professional communication capabilities, to assist students to apply knowledge and skills from an academic context to workplaces, and for students who have undertaken ATS1298, to refine the language and communication abilities learned in the first year unit.   The primary focus of this unit is the development of an extended individual project focusing on analysis and development of communication in a current organization.  Further professional writing skills are developed through the documentation of the project (pitches and briefs, bench-marking and final delivery reports, written and oral).   As the expectations of communication in organisations and the modern world are also rapidly evolving, the unit is also designed to further students' conceptual understanding of key issues in professional communication such as multi-modal-literacy, inter-cultural communication, and changing practices of reading, writing and text creation.  This knowledge will complement students' work in other media and professional communication studies as it enables a consistent and thorough approach to media text construction.",,,,,,,,
"ATS2492","Shakespeare and Renaissance literature","Faculty of Arts","[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"Twelve credit points of first-year Arts units.","ATS3492",1,"One of the main organizing principles of the Literatures in English major stream is periodisation, and the aim of this unit is to develop and extend students' historical understanding of modern English literature in its foundational Renaissance period (roughly 1580-1660), in terms of its generic and aesthetic forms and structures and its ideological and political contexts and concerns, focussing on the work of William Shakespeare (1564-1616), John Donne (1572-1631), John Milton (1608-1674), and their contemporaries. The unit will pay particular attention to the complex representation of gender and sexuality in the period. Shakespeare's plays will be considered in relation to the various interpretations which have been applied to or imposed upon them by critics and directors over the years, and how these reflect changing times and fashions as well as political and cultural biases.",,,,,,,,
